field,label,value,count
emission_year,1000,2016,7
emission_year,1000,2022,37
emission_year,1000,unknown,6
emission_year,10000,2016,9
emission_year,10000,2022,29
emission_year,10000,unknown,12
emission_year,100000,2016,8
emission_year,100000,2022,30
emission_year,100000,unknown,12
emission_year,2000,2016,6
emission_year,2000,2022,32
emission_year,2000,unknown,12
emission_year,20000,2016,9
emission_year,20000,2022,35
emission_year,20000,unknown,6
emission_year,5000,2016,5
emission_year,5000,2022,32
emission_year,5000,unknown,13
emission_year,50000,2016,9
emission_year,50000,2022,29
emission_year,50000,unknown,12
emission_year,nonuang,not_applicable,50
side,1000,back,12
side,1000,front,32
side,1000,unknown,6
side,10000,back,22
side,10000,front,16
side,10000,unknown,12
side,100000,back,20
side,100000,front,18
side,100000,unknown,12
side,2000,back,13
side,2000,front,24
side,2000,unknown,13
side,20000,back,20
side,20000,front,24
side,20000,unknown,6
side,5000,back,18
side,5000,front,17
side,5000,unknown,15
side,50000,back,22
side,50000,front,16
side,50000,unknown,12
side,nonuang,not_applicable,50
condition,1000,lusuh,20
condition,1000,normal,20
condition,1000,terlipat,10
condition,10000,lusuh,22
condition,10000,normal,19
condition,10000,terlipat,9
condition,100000,lusuh,20
condition,100000,normal,26
condition,100000,terlipat,4
condition,2000,lusuh,21
condition,2000,normal,22
condition,2000,terlipat,7
condition,20000,lusuh,17
condition,20000,normal,23
condition,20000,terlipat,10
condition,5000,lusuh,24
condition,5000,normal,17
condition,5000,terlipat,9
condition,50000,lusuh,21
condition,50000,normal,19
condition,50000,terlipat,10
condition,nonuang,not_applicable,50
object_group,1000,not_applicable,50
object_group,10000,not_applicable,50
object_group,100000,not_applicable,50
object_group,2000,not_applicable,50
object_group,20000,not_applicable,50
object_group,5000,not_applicable,50
object_group,50000,not_applicable,50
object_group,nonuang,kemasan_produk,1
object_group,nonuang,lainnya,39
object_group,nonuang,latar_kosong,1
object_group,nonuang,layar_telepon,1
object_group,nonuang,tangan_kosong,7
object_group,nonuang,unknown,1
brightness_proxy,1000,high,15
brightness_proxy,1000,low,14
brightness_proxy,1000,medium,21
brightness_proxy,10000,high,15
brightness_proxy,10000,low,19
brightness_proxy,10000,medium,16
brightness_proxy,100000,high,14
brightness_proxy,100000,low,19
brightness_proxy,100000,medium,17
brightness_proxy,2000,high,18
brightness_proxy,2000,low,18
brightness_proxy,2000,medium,14
brightness_proxy,20000,high,15
brightness_proxy,20000,low,15
brightness_proxy,20000,medium,20
brightness_proxy,5000,high,18
brightness_proxy,5000,low,15
brightness_proxy,5000,medium,17
brightness_proxy,50000,high,16
brightness_proxy,50000,low,16
brightness_proxy,50000,medium,18
brightness_proxy,nonuang,high,20
brightness_proxy,nonuang,low,13
brightness_proxy,nonuang,medium,17
orientation_proxy,1000,diagonal_or_square,16
orientation_proxy,1000,horizontal,24
orientation_proxy,1000,vertical,10
orientation_proxy,10000,diagonal_or_square,19
orientation_proxy,10000,horizontal,22
orientation_proxy,10000,vertical,9
orientation_proxy,100000,diagonal_or_square,10
orientation_proxy,100000,horizontal,26
orientation_proxy,100000,vertical,14
orientation_proxy,2000,diagonal_or_square,17
orientation_proxy,2000,horizontal,21
orientation_proxy,2000,vertical,12
orientation_proxy,20000,diagonal_or_square,14
orientation_proxy,20000,horizontal,24
orientation_proxy,20000,vertical,12
orientation_proxy,5000,diagonal_or_square,19
orientation_proxy,5000,horizontal,20
orientation_proxy,5000,vertical,11
orientation_proxy,50000,diagonal_or_square,13
orientation_proxy,50000,horizontal,27
orientation_proxy,50000,vertical,10
orientation_proxy,nonuang,not_applicable,50
scale_proxy,1000,high,19
scale_proxy,1000,low,16
scale_proxy,1000,medium,15
scale_proxy,10000,high,19
scale_proxy,10000,low,14
scale_proxy,10000,medium,17
scale_proxy,100000,high,14
scale_proxy,100000,low,21
scale_proxy,100000,medium,15
scale_proxy,2000,high,19
scale_proxy,2000,low,15
scale_proxy,2000,medium,16
scale_proxy,20000,high,18
scale_proxy,20000,low,12
scale_proxy,20000,medium,20
scale_proxy,5000,high,17
scale_proxy,5000,low,17
scale_proxy,5000,medium,16
scale_proxy,50000,high,15
scale_proxy,50000,low,17
scale_proxy,50000,medium,18
scale_proxy,nonuang,not_applicable,50
