sample_id,label,source_id,file_path,group_id,emission_year,side,condition,object_group,brightness_proxy,orientation_proxy,scale_proxy,luminance_mean,aspect_ratio,relative_area,reviewed
ds2_img004574_ann004570,1000,ds2,02_extracted/uang/1000/ds2_img004574_ann004570.png,ds2_img004574,2022,front,normal,not_applicable,medium,horizontal,low,144.86456298828125,1.8668478260869565,0.2743229166666667,True
ds4_img006836_ann008315,1000,ds4,02_extracted/uang/1000/ds4_img006836_ann008315.png,ds4_img006836,2016,front,lusuh,not_applicable,low,vertical,high,112.906494140625,0.6946068510606401,0.6307536313775509,True
ds6_img023414_ann024506,1000,ds6,02_extracted/uang/1000/ds6_img023414_ann024506.png,ds6_img023414,2022,back,terlipat,not_applicable,medium,diagonal_or_square,medium,133.49969482421875,0.8945349952061361,0.5068328125,True
ds8_img030040_ann031138,1000,ds8,02_extracted/uang/1000/ds8_img030040_ann031138.png,ds8_img030040,2022,front,terlipat,not_applicable,high,diagonal_or_square,high,163.00033569335938,1.0,1.0,True
ds9_img037825_ann037873,1000,ds9,02_extracted/uang/1000/ds9_img037825_ann037873.png,ds9_img037825,2016,front,lusuh,not_applicable,low,horizontal,medium,111.03850555419922,2.037102473498233,0.398314208984375,True
ds1_img000216_ann000216,1000,ds1,02_extracted/uang/1000/ds1_img000216_ann000216.png,ds1_img000216,2022,back,normal,not_applicable,medium,horizontal,high,147.66241455078125,1.8296703296703296,0.924774169921875,True
ds5_img019538_ann020627,1000,ds5,02_extracted/uang/1000/ds5_img019538_ann020627.png,ds5_img019538,2022,back,normal,not_applicable,low,diagonal_or_square,medium,99.57852935791016,1.1939359116256163,0.4157543906103516,True
ds10_img002509_ann002509,1000,ds10,02_extracted/uang/1000/ds10_img002509_ann002509.png,ds10_img002509,2022,back,lusuh,not_applicable,medium,vertical,low,121.97563934326172,0.5978847649674356,0.31978485438292964,True
ds7_img026170_ann027268,1000,ds7,02_extracted/uang/1000/ds7_img026170_ann027268.png,ds7_img026170,unknown,unknown,lusuh,not_applicable,low,diagonal_or_square,high,60.05571746826172,0.9374495430619693,0.877902353515625,True
ds9_img036309_ann036577,1000,ds9,02_extracted/uang/1000/ds9_img036309_ann036577.png,ds9_img036309,2016,front,lusuh,not_applicable,low,horizontal,medium,112.77750396728516,2.0367132867132867,0.40672607421875,True
ds1_img000166_ann000166,1000,ds1,02_extracted/uang/1000/ds1_img000166_ann000166.png,ds1_img000166,2016,front,terlipat,not_applicable,medium,horizontal,medium,141.62420654296875,3.77140169332079,0.45492235003757603,True
ds4_img011498_ann012779,1000,ds4,02_extracted/uang/1000/ds4_img011498_ann012779.png,ds4_img011498,2022,front,lusuh,not_applicable,high,horizontal,high,153.27403259277344,1.3566124446636982,0.6416944321189413,True
ds10_img003366_ann003365,1000,ds10,02_extracted/uang/1000/ds10_img003366_ann003365.png,ds10_img003366,2022,front,terlipat,not_applicable,medium,vertical,low,136.20887756347656,0.7018131724933915,0.25953717800845827,True
ds5_img020757_ann021846,1000,ds5,02_extracted/uang/1000/ds5_img020757_ann021846.png,ds5_img020757,2022,front,normal,not_applicable,medium,diagonal_or_square,low,124.5688705444336,0.8180776459792389,0.3681931625756836,True
ds8_img030473_ann031571,1000,ds8,02_extracted/uang/1000/ds8_img030473_ann031571.png,ds8_img030473,2022,front,normal,not_applicable,high,vertical,high,175.7791290283203,0.6974625894599871,0.64361875,True
ds7_img027120_ann028218,1000,ds7,02_extracted/uang/1000/ds7_img027120_ann028218.png,ds7_img027120,unknown,unknown,lusuh,not_applicable,medium,diagonal_or_square,high,127.92388153076172,0.8363415647062582,0.8003052148437501,True
ds2_img003876_ann003872,1000,ds2,02_extracted/uang/1000/ds2_img003876_ann003872.png,ds2_img003876,2022,front,normal,not_applicable,medium,horizontal,low,140.1551513671875,1.8203389830508474,0.17189127604166668,True
ds6_img024592_ann025684,1000,ds6,02_extracted/uang/1000/ds6_img024592_ann025684.png,ds6_img024592,2022,front,terlipat,not_applicable,high,diagonal_or_square,high,157.65817260742188,0.9448320442937262,0.7937918749999999,True
ds9_img035255_ann035659,1000,ds9,02_extracted/uang/1000/ds9_img035255_ann035659.png,ds9_img035255,2022,front,lusuh,not_applicable,medium,horizontal,medium,148.9070281982422,1.8667736757624398,0.4422296142578125,True
ds1_img000250_ann000250,1000,ds1,02_extracted/uang/1000/ds1_img000250_ann000250.png,ds1_img000250,2016,back,terlipat,not_applicable,low,horizontal,low,78.36468505859375,4.045234248788368,0.16545996447359432,True
ds5_img018586_ann019675,1000,ds5,02_extracted/uang/1000/ds5_img018586_ann019675.png,ds5_img018586,2022,back,normal,not_applicable,high,horizontal,low,177.20657348632812,1.3867444219993967,0.04052237974121094,True
ds4_img006037_ann007519,1000,ds4,02_extracted/uang/1000/ds4_img006037_ann007519.png,ds4_img006037,2022,front,lusuh,not_applicable,high,vertical,medium,169.87619018554688,0.6482987705012572,0.6070401409040178,True
ds10_img003648_ann003644,1000,ds10,02_extracted/uang/1000/ds10_img003648_ann003644.png,ds10_img003648,2016,back,lusuh,not_applicable,low,horizontal,low,65.04386138916016,1.765070566354254,0.3826921568627451,True
ds7_img026692_ann027790,1000,ds7,02_extracted/uang/1000/ds7_img026692_ann027790.png,ds7_img026692,unknown,unknown,lusuh,not_applicable,low,vertical,high,62.816532135009766,0.7628241529434033,0.7484937890625,True
ds2_img004518_ann004514,1000,ds2,02_extracted/uang/1000/ds2_img004518_ann004514.png,ds2_img004518,2022,front,normal,not_applicable,medium,horizontal,low,145.65467834472656,1.4038461538461537,0.26361111111111113,True
ds8_img029964_ann031062,1000,ds8,02_extracted/uang/1000/ds8_img029964_ann031062.png,ds8_img029964,2022,front,normal,not_applicable,high,vertical,medium,161.98092651367188,0.7888680355494455,0.5948079765625,True
ds6_img023423_ann024515,1000,ds6,02_extracted/uang/1000/ds6_img023423_ann024515.png,ds6_img023423,2022,back,terlipat,not_applicable,medium,diagonal_or_square,high,146.61300659179688,0.8689716666666667,0.6517287500000001,True
ds1_img000170_ann000170,1000,ds1,02_extracted/uang/1000/ds1_img000170_ann000170.png,ds1_img000170,2022,front,normal,not_applicable,medium,horizontal,low,139.3664093017578,1.8538732394366197,0.253509521484375,True
ds5_img016496_ann017585,1000,ds5,02_extracted/uang/1000/ds5_img016496_ann017585.png,ds5_img016496,2022,back,normal,not_applicable,high,vertical,low,176.88011169433594,0.7322936746090102,0.28973691714843747,True
ds9_img030876_ann031929,1000,ds9,02_extracted/uang/1000/ds9_img030876_ann031929.png,ds9_img030876,2022,front,lusuh,not_applicable,high,horizontal,medium,184.1265869140625,1.8504672897196262,0.4655126953125,True
ds7_img027579_ann028677,1000,ds7,02_extracted/uang/1000/ds7_img027579_ann028677.png,ds7_img027579,unknown,unknown,lusuh,not_applicable,low,diagonal_or_square,high,111.97785949707031,1.052956298200514,0.76244,True
ds10_img002725_ann002725,1000,ds10,02_extracted/uang/1000/ds10_img002725_ann002725.png,ds10_img002725,2022,front,normal,not_applicable,low,horizontal,low,112.47418212890625,1.8565605714066673,0.3643346757657311,True
ds4_img007215_ann008693,1000,ds4,02_extracted/uang/1000/ds4_img007215_ann008693.png,ds4_img007215,2016,front,lusuh,not_applicable,low,horizontal,medium,92.0323715209961,1.5375867063038342,0.5274059717793368,True
ds2_img004047_ann004042,1000,ds2,02_extracted/uang/1000/ds2_img004047_ann004042.png,ds2_img004047,2022,front,normal,not_applicable,medium,horizontal,low,146.55770874023438,2.6872037914691944,0.129814453125,True
ds8_img028054_ann029152,1000,ds8,02_extracted/uang/1000/ds8_img028054_ann029152.png,ds8_img028054,2022,front,terlipat,not_applicable,medium,diagonal_or_square,high,144.99749755859375,1.0,1.0,True
