candidate,session,baseline_median_kb,active_median_kb,additional_pss_kb,active_max_kb
fp32,1,81551.0,95015.0,13464.0,138663.0
fp32,2,81421.0,93746.0,12325.0,95018.0
fp32,3,80731.0,94098.0,13367.0,94307.0
fp32,4,81476.0,94881.0,13405.0,95061.0
fp32,5,78896.0,92441.0,13545.0,92621.0
fp16,1,79548.0,95227.0,15679.0,95433.0
fp16,2,81416.0,97215.0,15799.0,97353.0
fp16,3,80416.0,96202.0,15786.0,96386.0
fp16,4,81533.0,97391.0,15858.0,97534.0
fp16,5,82083.0,97203.0,15120.0,97958.0
dynamic_range,1,81481.0,90298.0,8817.0,90450.0
dynamic_range,2,81442.0,90278.0,8836.0,90455.0
dynamic_range,3,80850.0,89256.0,8406.0,89892.0
dynamic_range,4,81369.0,90331.0,8962.0,90539.0
dynamic_range,5,81942.0,90854.0,8912.0,91074.0
full_int8,1,45707.0,53041.0,7334.0,53242.0
full_int8,2,45742.0,53214.0,7472.0,53392.0
full_int8,3,45786.0,53230.0,7444.0,53414.0
full_int8,4,45780.0,53236.0,7456.0,53393.0
full_int8,5,63944.0,82963.0,19019.0,91137.0
