candidate,model_sha256,session,phase,snapshot,total_pss_kb
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,1,baseline,1,217800
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,1,baseline,2,81530
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,1,baseline,3,81559
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,1,baseline,4,81523
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,1,baseline,5,81551
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,1,active,1,95172
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,1,active,2,95025
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,1,active,3,95018
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,1,active,4,95015
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,1,active,5,95015
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,1,active,6,95018
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,1,active,7,95044
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,1,active,8,138663
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,1,active,9,137019
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,1,active,10,94765
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,1,active,11,94533
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,1,active,12,94515
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,1,active,13,94473
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,1,active,14,90797
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,1,active,15,90796
