sample_id,label,source_id,file_path,group_id,emission_year,side,condition,object_group,brightness_proxy,orientation_proxy,scale_proxy,luminance_mean,aspect_ratio,relative_area,reviewed
ds1_img000166_ann000166,1000,ds1,02_extracted/uang/1000/ds1_img000166_ann000166.png,ds1_img000166,2016,front,terlipat,not_applicable,medium,horizontal,medium,141.6241912841797,3.77140169332079,0.45492235003757603,True
ds10_img003382_ann003381,1000,ds10,02_extracted/uang/1000/ds10_img003382_ann003381.png,ds10_img003382,2022,back,lusuh,not_applicable,low,vertical,low,111.77197265625,0.567910929130325,0.3701418685121107,True
ds2_img004374_ann004370,1000,ds2,02_extracted/uang/1000/ds2_img004374_ann004370.png,ds2_img004374,2022,front,normal,not_applicable,medium,horizontal,low,141.93336486816406,1.7470238095238095,0.21401041666666668,True
ds4_img010716_ann012057,1000,ds4,02_extracted/uang/1000/ds4_img010716_ann012057.png,ds4_img010716,2016,front,lusuh,not_applicable,low,horizontal,high,100.0295181274414,1.4872914381884523,0.6230490284000318,True
ds5_img020757_ann021846,1000,ds5,02_extracted/uang/1000/ds5_img020757_ann021846.png,ds5_img020757,2022,front,normal,not_applicable,medium,diagonal_or_square,low,124.56889343261719,0.8180776459792389,0.3681931625756836,True
ds6_img024592_ann025684,1000,ds6,02_extracted/uang/1000/ds6_img024592_ann025684.png,ds6_img024592,2022,front,terlipat,not_applicable,high,diagonal_or_square,high,157.65817260742188,0.9448320442937262,0.7937918749999999,True
ds7_img027297_ann028395,1000,ds7,02_extracted/uang/1000/ds7_img027297_ann028395.png,ds7_img027297,unknown,unknown,lusuh,not_applicable,high,diagonal_or_square,high,164.9591522216797,0.9588335650195879,0.9380923320312501,True
ds8_img028348_ann029446,1000,ds8,02_extracted/uang/1000/ds8_img028348_ann029446.png,ds8_img028348,2022,front,normal,not_applicable,high,diagonal_or_square,high,183.26051330566406,0.9595613433858807,0.797890625,True
ds9_img034098_ann034681,1000,ds9,02_extracted/uang/1000/ds9_img034098_ann034681.png,ds9_img034098,2022,front,lusuh,not_applicable,high,horizontal,medium,189.3260955810547,1.7897196261682242,0.450230712890625,True
ds1_img000618_ann000618,1000,ds1,02_extracted/uang/1000/ds1_img000618_ann000618.png,ds1_img000618,2022,back,normal,not_applicable,high,horizontal,medium,154.55694580078125,1.8342105263157895,0.4490492078993056,True
