sample_id,label,source_id,image_id,annotation_id,file_path,r_clip,aspect_ratio,relative_area,file_exists,flag_clip,flag_aspect,flag_area,random_5pct,auto_flag,audit_required,audit_reason,decision,notes
ds1_img000005_ann000005,10000,ds1,5,5,02_extracted/uang/10000/ds1_img000005_ann000005.png,1.0,3.956112852664577,0.17063479953342015,True,False,True,False,False,True,True,aspect_outlier,,
ds1_img000007_ann000007,5000,ds1,7,7,02_extracted/uang/5000/ds1_img000007_ann000007.png,1.0,4.240259740259741,0.1704949273003472,True,False,True,False,False,True,True,aspect_outlier,,
ds1_img000014_ann000014,10000,ds1,14,14,02_extracted/uang/10000/ds1_img000014_ann000014.png,1.0,3.956112852664577,0.17063479953342015,True,False,True,False,False,True,True,aspect_outlier,,
ds1_img000015_ann000015,1000,ds1,15,15,02_extracted/uang/1000/ds1_img000015_ann000015.png,1.0,3.7855822550831792,0.4696180555555556,True,False,True,False,False,True,True,aspect_outlier,,
ds1_img000017_ann000017,2000,ds1,17,17,02_extracted/uang/2000/ds1_img000017_ann000017.png,1.0,3.730410447761194,0.45762963722074196,True,False,True,False,False,True,True,aspect_outlier,,
ds1_img000021_ann000021,10000,ds1,21,21,02_extracted/uang/10000/ds1_img000021_ann000021.png,1.0,3.6792975970425137,0.4598195070711211,True,False,True,False,False,True,True,aspect_outlier,,
ds1_img000026_ann000026,1000,ds1,26,26,02_extracted/uang/1000/ds1_img000026_ann000026.png,1.0,3.72744014732965,0.4658304850260417,True,False,True,False,False,True,True,aspect_outlier,,
ds1_img000028_ann000028,20000,ds1,28,28,02_extracted/uang/20000/ds1_img000028_ann000028.png,1.0,4.144171779141105,0.18667687310112846,True,False,True,False,False,True,True,aspect_outlier,,
ds1_img000037_ann000037,5000,ds1,37,37,02_extracted/uang/5000/ds1_img000037_ann000037.png,1.0,4.09717868338558,0.17803041948486711,True,False,True,False,False,True,True,aspect_outlier,,
ds1_img000038_ann000038,1000,ds1,38,38,02_extracted/uang/1000/ds1_img000038_ann000038.png,1.0,4.252427184466019,0.17337312973970076,True,False,True,False,False,True,True,aspect_outlier,,
ds1_img000039_ann000039,10000,ds1,39,39,02_extracted/uang/10000/ds1_img000039_ann000039.png,1.0,3.952153110047847,0.29485891917742707,True,False,True,False,False,True,True,aspect_outlier,,
ds1_img000047_ann000047,10000,ds1,47,47,02_extracted/uang/10000/ds1_img000047_ann000047.png,1.0,3.922178988326848,0.439208984375,True,False,True,False,False,True,True,aspect_outlier,,
ds1_img000049_ann000049,10000,ds1,49,49,02_extracted/uang/10000/ds1_img000049_ann000049.png,1.0,2.0099403578528827,0.8621775309244791,True,False,False,False,True,False,True,random_5pct,,
ds1_img000053_ann000053,100000,ds1,53,53,02_extracted/uang/100000/ds1_img000053_ann000053.png,1.0,2.328,0.5550384521484375,True,False,False,False,True,False,True,random_5pct,,
