sample_id,label,source_id,file_path,sha256,status,keep_sample_id
ds10_img002159_ann002159,1000,ds10,02_extracted/uang/1000/ds10_img002159_ann002159.png,e38eb1fe0d65797706985b81f63ae0f040a00199220687b0b66e91ecb01aa198,keep,ds10_img002159_ann002159
ds10_img002162_ann002162,1000,ds10,02_extracted/uang/1000/ds10_img002162_ann002162.png,d0cd56b883c13f9781e03d84db2a0db0d8046b5dd262c9dc88c542fbe25df91a,keep,ds10_img002162_ann002162
ds10_img002177_ann002177,1000,ds10,02_extracted/uang/1000/ds10_img002177_ann002177.png,c88dbb4194c1b7048745cb5ee1a52dad29ba3632054844d751af65549a277d30,keep,ds10_img002177_ann002177
ds10_img002186_ann002186,1000,ds10,02_extracted/uang/1000/ds10_img002186_ann002186.png,43d46853d9f7d0c2c2011ccf1e1f8e0fd37c2948168e1d3f2df6c2828f6bf419,keep,ds10_img002186_ann002186
ds10_img002192_ann002192,1000,ds10,02_extracted/uang/1000/ds10_img002192_ann002192.png,d0792e983ae5efb70d1ad20e5a8c7043254fbf2e449fbcae8389c9447c009a09,keep,ds10_img002192_ann002192
ds10_img002215_ann002215,1000,ds10,02_extracted/uang/1000/ds10_img002215_ann002215.png,b5af8995b60f06731b89b8b3c991581be3fd3f34eed44bc117987c477e3e7d11,keep,ds10_img002215_ann002215
ds10_img002227_ann002227,1000,ds10,02_extracted/uang/1000/ds10_img002227_ann002227.png,650c5ce0cf8dff8a91172b92b0d60250f0055f1d30f172f2286683f2794a3aad,keep,ds10_img002227_ann002227
ds10_img002237_ann002237,1000,ds10,02_extracted/uang/1000/ds10_img002237_ann002237.png,adcf125b6d14eeddb8ecba7f3b32d16f6c48435862742b1edf2e0277c5479dc7,keep,ds10_img002237_ann002237
ds10_img002240_ann002240,1000,ds10,02_extracted/uang/1000/ds10_img002240_ann002240.png,a99723366cbf5319c389ada5e975e985e58064b55e93189ccc7374f0b0c13b21,keep,ds10_img002240_ann002240
ds10_img002243_ann002243,1000,ds10,02_extracted/uang/1000/ds10_img002243_ann002243.png,5f65700faafb49c14b693ee3c4b546dae35ca3a0916474ea24669a8194fb19ba,keep,ds10_img002243_ann002243
ds10_img002253_ann002253,1000,ds10,02_extracted/uang/1000/ds10_img002253_ann002253.png,8a88c73b7e52fc82ed057ef3e8e3f39334cab6c55e8fd3d205f20901bf60516d,keep,ds10_img002253_ann002253
ds10_img002261_ann002261,1000,ds10,02_extracted/uang/1000/ds10_img002261_ann002261.png,e37be056597d25962b70bf430c07e9c00e7219dddeaed25b1446446b88184530,keep,ds10_img002261_ann002261
ds10_img002264_ann002264,1000,ds10,02_extracted/uang/1000/ds10_img002264_ann002264.png,e19bf3bf8c965d198003be98e62326a5fc9304aa22acb1c5ee5fe96dbcbf0f6c,keep,ds10_img002264_ann002264
ds10_img002290_ann002290,1000,ds10,02_extracted/uang/1000/ds10_img002290_ann002290.png,d6c71fcfb492c1f80147fd376b72b218ab28ba81b92962272dc058d799ae84ea,keep,ds10_img002290_ann002290
ds10_img002296_ann002296,1000,ds10,02_extracted/uang/1000/ds10_img002296_ann002296.png,26ca17b2cd0bf2a1a1dc261e9d8e5ddf8383b434c19ba6959712dce79b67e445,keep,ds10_img002296_ann002296
ds10_img002299_ann002299,1000,ds10,02_extracted/uang/1000/ds10_img002299_ann002299.png,57d67abba68bceacd1ce747af08fe90cf89413b86ec964f710914a3a982b8fed,keep,ds10_img002299_ann002299
ds10_img002305_ann002305,1000,ds10,02_extracted/uang/1000/ds10_img002305_ann002305.png,493a0d7fc543ed0ffcf310628422025f2b46e9d5788327dc2d8288bfee48b43d,keep,ds10_img002305_ann002305
ds10_img002313_ann002313,1000,ds10,02_extracted/uang/1000/ds10_img002313_ann002313.png,ed327db71909d2aa80184c8cc2bba0136df7dba134e59245ee3de5b413ec8ed8,keep,ds10_img002313_ann002313
ds10_img002322_ann002322,1000,ds10,02_extracted/uang/1000/ds10_img002322_ann002322.png,d1d07a3baf9232d4ae0da17e60d61a7f9b1cf8dbc6de83140feee98896be976b,keep,ds10_img002322_ann002322
ds10_img002341_ann002341,1000,ds10,02_extracted/uang/1000/ds10_img002341_ann002341.png,35c28ee63adad11e55209619add626f059b94eef5d64c53aa949a7a68aa353f6,keep,ds10_img002341_ann002341
ds10_img002345_ann002345,1000,ds10,02_extracted/uang/1000/ds10_img002345_ann002345.png,839165e6f53042cf33904f579abfa80405a02810fd5d0e54dd216bff84a1b53f,keep,ds10_img002345_ann002345
ds10_img002356_ann002356,1000,ds10,02_extracted/uang/1000/ds10_img002356_ann002356.png,742c502b84e6e80ffc761686bf48d32004aa153aa67902bbd40376a9b8edee76,keep,ds10_img002356_ann002356
ds10_img002359_ann002359,1000,ds10,02_extracted/uang/1000/ds10_img002359_ann002359.png,60ba52d7a4557f46282c477d848d298ffa08511f40f711f32d3a210520f3f38e,keep,ds10_img002359_ann002359
ds10_img002378_ann002378,1000,ds10,02_extracted/uang/1000/ds10_img002378_ann002378.png,5c52f1cff1dd72ae70c0e1ee3fd323fb29c46543058e963d35337952d67b865f,keep,ds10_img002378_ann002378
