sample_id,label,source_id,file_path,selected
nm_000000000057,nonuang,ds11,raw_dataset/non_uang/000000000057.jpg,True
nm_000000000063,nonuang,ds11,raw_dataset/non_uang/000000000063.jpg,False
nm_000000000090,nonuang,ds11,raw_dataset/non_uang/000000000090.jpg,True
nm_000000000106,nonuang,ds11,raw_dataset/non_uang/000000000106.jpg,True
nm_000000000183,nonuang,ds11,raw_dataset/non_uang/000000000183.jpg,False
nm_000000000205,nonuang,ds11,raw_dataset/non_uang/000000000205.jpg,True
nm_000000000463,nonuang,ds11,raw_dataset/non_uang/000000000463.jpg,True
nm_000000000492,nonuang,ds11,raw_dataset/non_uang/000000000492.jpg,True
nm_000000000509,nonuang,ds11,raw_dataset/non_uang/000000000509.jpg,False
nm_000000000527,nonuang,ds11,raw_dataset/non_uang/000000000527.jpg,False
nm_000000000535,nonuang,ds11,raw_dataset/non_uang/000000000535.jpg,False
nm_000000000549,nonuang,ds11,raw_dataset/non_uang/000000000549.jpg,True
nm_000000000619,nonuang,ds11,raw_dataset/non_uang/000000000619.jpg,False
nm_000000000664,nonuang,ds11,raw_dataset/non_uang/000000000664.jpg,False
nm_000000000748,nonuang,ds11,raw_dataset/non_uang/000000000748.jpg,True
nm_000000000880,nonuang,ds11,raw_dataset/non_uang/000000000880.jpg,False
nm_000000000904,nonuang,ds11,raw_dataset/non_uang/000000000904.jpg,True
nm_000000000979,nonuang,ds11,raw_dataset/non_uang/000000000979.jpg,True
nm_000000001551,nonuang,ds11,raw_dataset/non_uang/000000001551.jpg,True
nm_000000001653,nonuang,ds11,raw_dataset/non_uang/000000001653.jpg,True
nm_000000001657,nonuang,ds11,raw_dataset/non_uang/000000001657.jpg,True
nm_000000001685,nonuang,ds11,raw_dataset/non_uang/000000001685.jpg,True
nm_000000001751,nonuang,ds11,raw_dataset/non_uang/000000001751.jpg,True
nm_000000001848,nonuang,ds11,raw_dataset/non_uang/000000001848.jpg,True
nm_000000001959,nonuang,ds11,raw_dataset/non_uang/000000001959.jpg,False
nm_000000002032,nonuang,ds11,raw_dataset/non_uang/000000002032.jpg,True
nm_000000002051,nonuang,ds11,raw_dataset/non_uang/000000002051.jpg,True
nm_000000002112,nonuang,ds11,raw_dataset/non_uang/000000002112.jpg,True
nm_000000002294,nonuang,ds11,raw_dataset/non_uang/000000002294.jpg,False
nm_000000002340,nonuang,ds11,raw_dataset/non_uang/000000002340.jpg,True
nm_000000002362,nonuang,ds11,raw_dataset/non_uang/000000002362.jpg,True
nm_000000002375,nonuang,ds11,raw_dataset/non_uang/000000002375.jpg,True
nm_000000002401,nonuang,ds11,raw_dataset/non_uang/000000002401.jpg,True
nm_000000002418,nonuang,ds11,raw_dataset/non_uang/000000002418.jpg,True
nm_000000002439,nonuang,ds11,raw_dataset/non_uang/000000002439.jpg,True
nm_000000002447,nonuang,ds11,raw_dataset/non_uang/000000002447.jpg,False
nm_000000002488,nonuang,ds11,raw_dataset/non_uang/000000002488.jpg,True
nm_000000002680,nonuang,ds11,raw_dataset/non_uang/000000002680.jpg,True
nm_000000002797,nonuang,ds11,raw_dataset/non_uang/000000002797.jpg,False
nm_000000002799,nonuang,ds11,raw_dataset/non_uang/000000002799.jpg,True
nm_000000002815,nonuang,ds11,raw_dataset/non_uang/000000002815.jpg,True
nm_000000002934,nonuang,ds11,raw_dataset/non_uang/000000002934.jpg,True
nm_000000003024,nonuang,ds11,raw_dataset/non_uang/000000003024.jpg,False
nm_000000003086,nonuang,ds11,raw_dataset/non_uang/000000003086.jpg,True
nm_000000003191,nonuang,ds11,raw_dataset/non_uang/000000003191.jpg,True
nm_000000003208,nonuang,ds11,raw_dataset/non_uang/000000003208.jpg,False
nm_000000003406,nonuang,ds11,raw_dataset/non_uang/000000003406.jpg,True
nm_000000003452,nonuang,ds11,raw_dataset/non_uang/000000003452.jpg,False
nm_000000003618,nonuang,ds11,raw_dataset/non_uang/000000003618.jpg,False
nm_000000003720,nonuang,ds11,raw_dataset/non_uang/000000003720.jpg,True
nm_000000003748,nonuang,ds11,raw_dataset/non_uang/000000003748.jpg,False
nm_000000003805,nonuang,ds11,raw_dataset/non_uang/000000003805.jpg,False
nm_000000003884,nonuang,ds11,raw_dataset/non_uang/000000003884.jpg,False
nm_000000004000,nonuang,ds11,raw_dataset/non_uang/000000004000.jpg,True
nm_000000004040,nonuang,ds11,raw_dataset/non_uang/000000004040.jpg,True
nm_000000004072,nonuang,ds11,raw_dataset/non_uang/000000004072.jpg,False
nm_000000004113,nonuang,ds11,raw_dataset/non_uang/000000004113.jpg,True
nm_000000004163,nonuang,ds11,raw_dataset/non_uang/000000004163.jpg,True
nm_000000004200,nonuang,ds11,raw_dataset/non_uang/000000004200.jpg,True
nm_000000004311,nonuang,ds11,raw_dataset/non_uang/000000004311.jpg,True
nm_000000004335,nonuang,ds11,raw_dataset/non_uang/000000004335.jpg,False
nm_000000004413,nonuang,ds11,raw_dataset/non_uang/000000004413.jpg,False
nm_000000004432,nonuang,ds11,raw_dataset/non_uang/000000004432.jpg,False
nm_000000004638,nonuang,ds11,raw_dataset/non_uang/000000004638.jpg,False
nm_000000004778,nonuang,ds11,raw_dataset/non_uang/000000004778.jpg,False
nm_000000004790,nonuang,ds11,raw_dataset/non_uang/000000004790.jpg,True
nm_000000004810,nonuang,ds11,raw_dataset/non_uang/000000004810.jpg,True
nm_000000004878,nonuang,ds11,raw_dataset/non_uang/000000004878.jpg,True
nm_000000005092,nonuang,ds11,raw_dataset/non_uang/000000005092.jpg,False
nm_000000005489,nonuang,ds11,raw_dataset/non_uang/000000005489.jpg,False
nm_000000005578,nonuang,ds11,raw_dataset/non_uang/000000005578.jpg,True
nm_000000005771,nonuang,ds11,raw_dataset/non_uang/000000005771.jpg,False
nm_000000005895,nonuang,ds11,raw_dataset/non_uang/000000005895.jpg,False
nm_000000005905,nonuang,ds11,raw_dataset/non_uang/000000005905.jpg,True
nm_000000006045,nonuang,ds11,raw_dataset/non_uang/000000006045.jpg,False
nm_000000006108,nonuang,ds11,raw_dataset/non_uang/000000006108.jpg,False
nm_000000006157,nonuang,ds11,raw_dataset/non_uang/000000006157.jpg,False
nm_000000006175,nonuang,ds11,raw_dataset/non_uang/000000006175.jpg,False
nm_000000006195,nonuang,ds11,raw_dataset/non_uang/000000006195.jpg,False
nm_000000006222,nonuang,ds11,raw_dataset/non_uang/000000006222.jpg,False
nm_000000006276,nonuang,ds11,raw_dataset/non_uang/000000006276.jpg,True
nm_000000006284,nonuang,ds11,raw_dataset/non_uang/000000006284.jpg,True
nm_000000006286,nonuang,ds11,raw_dataset/non_uang/000000006286.jpg,False
nm_000000006309,nonuang,ds11,raw_dataset/non_uang/000000006309.jpg,True
nm_000000006402,nonuang,ds11,raw_dataset/non_uang/000000006402.jpg,False
nm_000000006425,nonuang,ds11,raw_dataset/non_uang/000000006425.jpg,True
nm_000000006509,nonuang,ds11,raw_dataset/non_uang/000000006509.jpg,False
nm_000000006557,nonuang,ds11,raw_dataset/non_uang/000000006557.jpg,True
nm_000000006570,nonuang,ds11,raw_dataset/non_uang/000000006570.jpg,True
nm_000000006571,nonuang,ds11,raw_dataset/non_uang/000000006571.jpg,True
nm_000000006736,nonuang,ds11,raw_dataset/non_uang/000000006736.jpg,False
nm_000000006804,nonuang,ds11,raw_dataset/non_uang/000000006804.jpg,True
nm_000000006844,nonuang,ds11,raw_dataset/non_uang/000000006844.jpg,False
nm_000000006891,nonuang,ds11,raw_dataset/non_uang/000000006891.jpg,False
nm_000000006947,nonuang,ds11,raw_dataset/non_uang/000000006947.jpg,True
nm_000000007127,nonuang,ds11,raw_dataset/non_uang/000000007127.jpg,False
